facility_code,facility_name,county_name,district,facility_type,ownership,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
18720,House of Hope Medical Centre,Kisumu,Nyakach,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-0.10221,34.761711
17897,Howdil Aday Clinic,Marsabit,Moyale,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,2.333333,37.983333
13610,Huduma Clinic,Migori,Kuria West,Medical Clinic,Private Enterprise (Institution),8,0,f,f,Operational,-1.066667,34.466667
17393,Huduma Health Centre,Nairobi,Kibra,Maternity Home,Private Practice - Clinical Officer,2,0,f,f,Operational,-1.286389,36.817223
18675,Huhoini Dispensary,Nyandarua,Nyandarua North,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.183333,36.366667
16205,Hulahula Dispensary,Marsabit,Marsabit,Dispensary,Ministry of Health,0,0,f,f,Operational,2.333333,37.983333
13365,Hulugho Sub-District Hospital,Garissa,Hulugho,Sub-District Hospital,Ministry of Health,6,2,f,f,Operational,-0.456944,39.658333
16793,Hungai Dispensary,Wajir,Tarbaj,Dispensary,Ministry of Health,0,0,f,f,Operational,1.75,40.066667
19302,Hunters Medical Clinic,Nairobi,Kasarani,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
12061,Hurri-Hills Dispensary,Marsabit,Marsabit North,Dispensary,Ministry of Health,0,0,f,f,Operational,2.333333,37.983333
12972,Huruma (NCCK) Dispensary,Nairobi,Mathare,Dispensary,Christian Health Association of Kenya,0,0,f,f,Operational,-1.286389,36.817223
14552,Huruma Dispensary,Nakuru,Njoro,Dispensary,Other Faith Based,0,0,f,f,Operational,-0.303099,36.080026
14555,Huruma District Hospital,Uasin Gishu,Eldoret West,District Hospital,Ministry of Health,4,0,f,f,Operational,0.514277,35.269779
12974,Huruma Lions Dispensary,Nairobi,Mathare,Dispensary,Local Authority,0,0,f,f,Operational,-1.286389,36.817223
17580,Huruma Medical Clinic,Murang'a,Kiharu,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-0.716667,37.15
18297,Huruma Medical Clinic (Bamba),Kilifi,Ganze,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-3.633333,39.85
19255,Huruma Medical Clinic (Changamwe),Mombasa,Changamwe,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-4.043477,39.668205
10329,Huruma Medical Clinic (Gatundu),Kiambu,Gatundu,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.166667,36.833333
17879,Huruma Medical Clinic (Kanja),Embu,Embu East,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.533333,37.45
17898,Huruma Medical Clinic (Moyale),Marsabit,Moyale,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,2.333333,37.983333
14554,Huruma Mobile Clinic,Nakuru,Njoro,Dispensary,Other Faith Based,0,0,f,f,Operational,-0.303099,36.080026
12976,Huruma Nursing Home & Maternity,Nairobi,Mathare,Nursing Home,Private Enterprise (Institution),30,0,f,f,Operational,-1.286389,36.817223
19983,Hylax Clinic (Masaba North),Nyamira,North Masaba,Medical Clinic,Private Practice - Nurse / Midwife,12,2,f,f,Operational,-0.633333,34.933333
20556,I Choose Life - Africa(Kileleshwa),Nairobi,Dagoretti North,VCT Centre (Stand-Alone),Non-Governmental Organizations,0,0,f,f,Operational,-1.286389,36.817223
18201,I Choose Life Africa,Nairobi,Embakasi South,Medical Clinic,Private Enterprise (Institution),8,1,f,f,Operational,-1.286389,36.817223
20939,I Choose Life Africa Bomet VCT,Bomet,Bomet Central,VCT Centre (Stand-Alone),Non-Governmental Organizations,0,0,f,f,Pending Opening,-1.286389,36.817223
13611,Ibacho Sub-District Hospital,Kisii,Masaba South,Sub-District Hospital,Ministry of Health,8,0,f,f,Operational,-0.683333,34.766667
13612,Ibeno Sub-District Hospital,Kisii,Kisii Central,Sub-District Hospital,Ministry of Health,30,0,f,f,Operational,-0.683333,34.766667
10331,Ichagachiru Dispensary,Nyeri,Tetu,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.416667,36.95
10332,Ichagaki (Mission) Health Centre,Murang'a,Muranga South,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,0,0,f,f,Operational,-0.716667,37.15
10333,Ichamara Dispensary,Nyeri,Mukurweini,Dispensary,Ministry of Health,1,0,f,f,Operational,-0.416667,36.95
10335,Ichichi Dispensary,Murang'a,Muranga West,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.716667,37.15
12067,Ichomba Clinic,Meru,Imenti South,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,0.05,37.65
18023,Ichuga Medical Clinic,Nyeri,Kieni East,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.416667,36.95
14556,Icross Dispensary,Kajiado,Kajiado North,Dispensary,Ministry of Health,0,0,f,f,Operational,-1.85,36.783333
20211,Ideal Medical Clinic,Kiambu,Kikuyu,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.166667,36.833333
11418,Idsowe Dispensary,Tana River,Tana Delta,Dispensary,Ministry of Health,0,0,f,f,Operational,-1.5,40.033333
15896,Iduku Dispensary,Vihiga,Vihiga,Dispensary,Ministry of Health,3,2,f,f,Operational,0.083333,34.716667
18799,Ifo 2 Hospital,Garissa,Dadaab,Other Hospital,Humanitarian Agencies,30,10,f,f,Operational,-0.456944,39.658333
13368,Ifo Hospital,Garissa,Dadaab,Other Hospital,Non-Governmental Organizations,162,0,f,f,Operational,-0.456944,39.658333
12069,Igamatundu Dispensary,Tharaka Nithi,Meru South,Dispensary,Community,0,0,f,f,Operational,,
10337,Igana Dispensary,Nyeri,Mukurweini,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.416667,36.95
12070,Igandene Dispensary,Meru,Imenti South,Dispensary,Christian Health Association of Kenya,0,0,f,f,Operational,0.05,37.65
