facility_id,facility_code,name,county,district,type,owner,nearest_town,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
17,14183,AAR Nakuru Clinic,Nakuru,Nakuru,Dispensary,Non-Governmental Organizations,Nakuru Town,0,0,f,f,Operational,-0.303099,36.080026
18,21224,AAR Outpatient Center Donholm,Nairobi,Embakasi East,Medical Clinic,Private Practice - General Practitioner,Donholm,4,2,f,f,Operational,-1.286389,36.817223
19,20940,AAR Thika out Patient Centre,Kiambu,Thika West,Medical Clinic,Private Practice - General Practitioner,Wabera street opposite thika stadium zuri centre 3rd flooor,0,0,f,f,Operational,-1.286389,36.817223
20,20848,African Muslim Agency Dispensary,Isiolo,Garbatula,Dispensary,Supreme Council for Kenya Muslims,AMA Children Home,0,0,f,f,Not-Operational,0.35,37.583333
21,20320,African Muslim Agency- Matsangoni,Kilifi,Kilifi North,Dispensary,Supreme Council for Kenya Muslims,Matsangoni,0,0,f,f,Operational,-3.633333,39.85
22,12865,Afwan Medical Centre,Nairobi,Kamukunji,Nursing Home,Private Enterprise (Institution),Eastleigh,40,4,f,f,Operational,-1.286389,36.817223
23,17335,Afwein Dispensary,Garissa,Lagdera,Dispensary,Ministry of Health,Shantabak,0,0,f,f,Operational,-0.456944,39.658333
24,17577,Afya Bora Clinic,Kirinyaga,Kirinyaga North,Medical Clinic,Private Practice - General Practitioner,Ngurubani,0,0,f,f,Operational,-0.5,37.283333
25,11919,Afya Bora Clinic (Meru South),Tharaka Nithi,Meru South,Medical Clinic,Private Enterprise (Institution),Chuka Town,0,0,f,f,Operational,\N,\N
26,17819,Afya Bora Clinic (Mutomo),Kitui,Mutomo,Medical Clinic,Private Practice - Nurse / Midwife,Mutomo Town,0,0,f,f,Operational,-1.366667,38.016667
27,10011,Afya Bora Clinic (Mwea),Kirinyaga,Kirinyaga North,Medical Clinic,Private Enterprise (Institution),Kandondgu,0,0,f,f,Operational,-0.5,37.283333
28,19966,Afya Bora Clinic Karia,Kiambu,Githunguri,Medical Clinic,Private Practice - Nurse / Midwife,Kiairia,0,0,f,f,Operational,-1.166667,36.833333
29,19794,Afya Bora Health Clinic,Nyandarua,Nyandarua West,Medical Clinic,Private Practice - Nurse / Midwife,Kasuku,0,0,f,f,Operational,-0.183333,36.366667
30,19662,Afya Bora Mc,Trans Nzoia,Trans Nzoia West,Medical Clinic,Private Practice - Nurse / Midwife,Kitale,0,0,f,f,Operational,1.016667,34.983333
31,16411,Afya Bora Medical Clinic,Nakuru,Njoro,Medical Clinic,Private Enterprise (Institution),Kianjoya,0,0,f,f,Operational,-0.303099,36.080026
32,16491,Afya Bora Medical Clinic (CFW Clinic Gichugu),Kirinyaga,Kirinyaga East,Medical Clinic,Private Practice - Nurse / Midwife,Gathoge,0,0,f,f,Operational,-0.5,37.283333
33,11200,Afya Bora Medical Clinic (Malindi),Kilifi,Magarini,Medical Clinic,Private Practice - Nurse / Midwife,Malindi,0,0,f,f,Operational,-3.633333,39.85
34,21165,Afya Bora Medical Clinic (Mirangine),Nyandarua,Mirangine,Medical Clinic,Private Practice - Nurse / Midwife,Mirangine,0,0,f,f,Operational,-0.183333,36.366667
